,Address,ADDRESBR,STALPBR,ZIPBR,x,y,STATE,GEOID,BLOCK,TRACT
71,"1640 Irving Park Road, IL 60133",1640 Irving Park Road,IL,60133,-88.14686,42.006256,NS,17,2014,804309
72,"1660 North Plainfield Road, IL 60403",1660 North Plainfield Road,IL,60403,,,,,,
73,"16767 Torrence Ave, IL 60438",16767 Torrence Ave,IL,60438,-87.55882,41.589455,NS,17,4001,827902
74,"1700 North Wells Street, IL 60614",1700 North Wells Street,IL,60614,-87.63477,41.912945,NS,17,1004,071500
75,"1703 West Market Street, IL 61701",1703 West Market Street,IL,61701,-89.01858,40.483524,NS,17,1027,001403
76,"17157 Harlem Avenue, IL 60477",17157 Harlem Avenue,IL,60477,-87.79342,41.579327,NS,17,1007,825303
77,"175 Mchenry Road, IL 60089",175 Mchenry Road,IL,60089,-87.95965,42.15602,NS,17,1028,864519
78,"1783 River Oaks Dr, IL 60409",1783 River Oaks Dr,IL,60409,-87.56827,41.60099,NS,17,4001,826201
79,"1791 W Howard Street, IL 60626",1791 W Howard Street,IL,60626,,,,,,
80,"1800 South Naperville Road, IL 60189",1800 South Naperville Road,IL,60189,-88.10174,41.83646,NS,17,1008,842601
81,"18000 S Wolf Road, Suite A309, IL 60467","18000 S Wolf Road, Suite A309",IL,60467,-87.89038,41.56282,NS,17,1009,824119
82,"1825 West Lawrence Avenue, IL 60640",1825 West Lawrence Avenue,IL,60640,-87.67498,41.968807,NS,17,1001,830800
83,"18301 Dixie Highway, IL 60430",18301 Dixie Highway,IL,60430,-87.665375,41.55722,NS,17,3007,828601
84,"1836 North Broadway, IL 60160",1836 North Broadway,IL,60160,,,,,,
85,"1840 N Milwaukee Avenue, IL 60061",1840 N Milwaukee Avenue,IL,60061,,,,,,
86,"1849 West North Avenue, IL 60622",1849 West North Avenue,IL,60622,,,,,,
87,"1851 North Cicero Avenue, IL 60639",1851 North Cicero Avenue,IL,60639,-87.74601,41.914673,NS,17,2019,191000
88,"18701 South Halsted Street, IL 60425",18701 South Halsted Street,IL,60425,-87.63604,41.549297,NS,17,4003,828701
89,"190 W Northwest Hwy, IL 60067",190 W Northwest Hwy,IL,60067,-88.0482,42.12236,NS,17,1005,803604
90,"1900 Central Road, IL 60201",1900 Central Road,IL,60201,-87.69888,42.06432,NS,17,1000,809100
91,"1901 Cherry Lane, IL 60062",1901 Cherry Lane,IL,60062,-87.82699,42.131416,NS,17,3021,801500
92,"1901 Mcdaniel Avenue, IL 60201",1901 Mcdaniel Avenue,IL,60201,-87.70984,42.052906,NS,17,2002,809100
93,"1910 East 95th Street, IL 60617",1910 East 95th Street,IL,60617,-87.57731,41.72245,NS,17,2001,510300
94,"1925 North Division, IL 60450",1925 North Division,IL,60450,,,,,,
95,"1934 South State Street, IL 60616",1934 South State Street,IL,60616,-87.627174,41.85614,ST,17,2031,330200
96,"1959 W Division Street, IL 60622",1959 W Division Street,IL,60622,-87.676575,41.9032,NS,17,1003,242200
97,"2 East Euclid Avenue, IL 60070",2 East Euclid Avenue,IL,60070,-87.93488,42.088013,NS,17,1032,802607
98,"2 N La Salle St, IL 60602",2 N La Salle St,IL,60602,-87.63237,41.88201,NS,17,1061,839100
99,"200 East Grant Highway, IL 60152",200 East Grant Highway,IL,60152,-88.60725,42.24808,NS,17,4012,871004
100,"200 South Dirksen Parkway, IL 62703",200 South Dirksen Parkway,IL,62703,,,,,,
101,"200 West Jackson Boulevard, IL 60606",200 West Jackson Boulevard,IL,60606,-87.63452,41.878117,NS,17,2010,839100
102,"201 West University Avenue, IL 61820",201 West University Avenue,IL,61820,,,,,,
103,"202 Forest Boulevard, IL 60466",202 Forest Boulevard,IL,60466,-87.678635,41.48568,NS,17,4009,830300
104,"2030 Skokie Valley Rd, IL 60035",2030 Skokie Valley Rd,IL,60035,-87.82827,42.192955,NS,17,3006,864700
105,"20801 La Grange Road, IL 60423",20801 La Grange Road,IL,60423,,,,,,
106,"21 South Western Avenue, IL 60110",21 South Western Avenue,IL,60110,-88.29339,42.107586,NS,17,1005,850103
107,"2100 North Illinois Route 83, IL 60073",2100 North Illinois Route 83,IL,60073,,,,,,
108,"2101 Orchard Rd, IL 60538",2101 Orchard Rd,IL,60538,-88.37533,41.72228,NS,17,1002,890403
109,"2122 West 22nd Street, IL 60523",2122 West 22nd Street,IL,60523,-87.97135,41.84626,NS,17,2044,844501
110,"2150 Bloomingdale Rd, IL 60139",2150 Bloomingdale Rd,IL,60139,-88.08028,41.93859,NS,17,2015,841113
111,"2163 Randall Rd, IL 60110",2163 Randall Rd,IL,60110,-88.33513,42.118866,NS,17,2002,850103
